| searchIndex     | searchRa        | searchDec       | ned_name                     | ra              | dec             | object_type     | redshift        | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005313.87+090216.9 | 00:53:13.87     | +09:02:17.0     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005322.59+090133.9 | 00:53:22.59     | +09:01:34.0     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005248.23+090157.3 | 00:52:48.24     | +09:01:57.3     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | 2MASX J00524520+0901310      | 00:52:45.23     | +09:01:31.1     | G               |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005339.65+085539.2 | 00:53:39.65     | +08:55:39.3     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005256.61+084605.6 | 00:52:56.61     | +08:46:05.6     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005235.89+085941.7 | 00:52:35.90     | +08:59:41.8     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005301.38+090327.4 | 00:53:01.38     | +09:03:27.4     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005230.68+085139.8 | 00:52:30.68     | +08:51:39.9     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | 2MASX J00524885+0846320      | 00:52:48.85     | +08:46:31.7     | G               |                 | 
| 1               | 13.2700041667   | 8.9100075       | 2MASX J00531987+0846207      | 00:53:19.89     | +08:46:20.4     | G               |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005322.84+090232.7 | 00:53:22.84     | +09:02:32.7     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | 2MASX J00531117+0845327      | 00:53:11.18     | +08:45:32.6     | G               |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005242.84+090231.2 | 00:52:42.85     | +09:02:31.3     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005226.06+085607.8 | 00:52:26.06     | +08:56:07.9     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005239.26+084708.0 | 00:52:39.27     | +08:47:08.1     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005312.46+084459.6 | 00:53:12.46     | +08:44:59.7     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005327.16+090258.0 | 00:53:27.16     | +09:02:58.0     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005307.75+090440.5 | 00:53:07.76     | +09:04:40.6     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005318.60+090410.9 | 00:53:18.61     | +09:04:10.9     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005346.29+085340.8 | 00:53:46.29     | +08:53:40.8     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005308.78+090453.7 | 00:53:08.79     | +09:04:53.8     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005347.04+085443.3 | 00:53:47.04     | +08:54:43.3     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005247.99+084449.2 | 00:52:47.99     | +08:44:49.3     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005312.71+090502.9 | 00:53:12.72     | +09:05:02.9     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005221.82+085359.9 | 00:52:21.83     | +08:54:00.0     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005254.08+090453.8 | 00:52:54.09     | +09:04:53.9     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | NVSS J005248+084448          | 00:52:48.00     | +08:44:48.4     | RadioS          |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005247.43+090421.2 | 00:52:47.44     | +09:04:21.2     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005344.97+085031.7 | 00:53:44.97     | +08:50:31.8     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005309.44+084353.1 | 00:53:09.44     | +08:43:53.2     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005223.92+085036.9 | 00:52:23.92     | +08:50:36.9     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005229.14+090057.2 | 00:52:29.14     | +09:00:57.2     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005230.06+090117.2 | 00:52:30.06     | +09:01:17.3     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005226.87+090011.1 | 00:52:26.88     | +09:00:11.2     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005315.13+090512.1 | 00:53:15.14     | +09:05:12.2     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005232.18+084706.1 | 00:52:32.19     | +08:47:06.2     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005345.60+085008.1 | 00:53:45.60     | +08:50:08.2     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005220.02+085526.2 | 00:52:20.03     | +08:55:26.2     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005226.72+084841.8 | 00:52:26.73     | +08:48:41.9     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005227.90+090111.3 | 00:52:27.90     | +09:01:11.3     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005328.17+090425.3 | 00:53:28.17     | +09:04:25.4     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005219.75+085137.8 | 00:52:19.75     | +08:51:37.8     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005314.88+084318.4 | 00:53:14.88     | +08:43:18.4     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005224.30+090025.4 | 00:52:24.31     | +09:00:25.5     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005301.60+084302.8 | 00:53:01.60     | +08:43:02.9     | UvS             |                 | 
| 1               | 13.2700041667   | 8.9100075       | GALEXASC J005346.56+084834.1 | 00:53:46.56     | +08:48:34.2     | UvS             |                 | 
